regulation,celex,article_or_requirement,title,applies_from,mia_boundary_or_control,source_url,source_type,verified_on
GDPR,32016R0679,Article 5,Principles relating to processing of personal data,2018-05-25,"Use only documented purposes and approved sources; minimise retrieved fields; restrict retention; protect confidentiality; retain evidence of compliance.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Article 6,Lawfulness of processing,2018-05-25,"A data steward must record and validate the lawful basis before customer or employee data enters a Mia workflow.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Article 9,Special categories of personal data,2018-05-25,"Do not ingest or infer special-category data for insight generation unless Legal and the DPO approve a documented Article 9 condition.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Articles 13-14,Information to data subjects,2018-05-25,"Maintain accessible notices for each source and processing purpose, including automated analysis and relevant recipients.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Articles 15-22,Data-subject rights and automated individual decision-making,2018-05-25,"Mia must support rights-request discovery and must not make solely automated decisions with legal or similarly significant effects on people.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Article 25,Data protection by design and by default,2018-05-25,"Default retrieval to approved aggregate or pseudonymised context; block unnecessary identity fields from prompts, traces and exports.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Article 28,Processor,2018-05-25,"Use only model, embedding, observability and hosting providers covered by approved processor terms and a data-processing agreement where required.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Article 30,Records of processing activities,2018-05-25,"Maintain a versioned record for every Mia source and workflow: controller/processor, purpose, data categories, recipients, transfers, retention and safeguards.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Article 32,Security of processing,2018-05-25,"Require least-privilege access, enterprise authentication, MFA or SSO, encryption, secret management and audit logs before production use.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Articles 33-34,Personal data breach notification,2018-05-25,"Maintain incident triage that can notify the controller and DPO promptly; preserve only minimum necessary breach evidence.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Article 35,Data protection impact assessment,2018-05-25,"Run and retain a DPIA screening before production processing of internal customer data; escalate a positive screening to Legal and the DPO.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
GDPR,32016R0679,Articles 44-49,Transfers of personal data to third countries,2018-05-25,"Do not send personal data to a non-EEA provider or location without a documented transfer mechanism and approved supplementary safeguards.",https://eur-lex.europa.eu/eli/reg/2016/679/oj,Official EUR-Lex regulation,2026-08-10
EU AI Act,32024R1689,Article 4,AI literacy,2025-02-02,"Keep a role-based AI-literacy and training record for operators, reviewers and administrators using or supervising Mia.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj,Official EUR-Lex regulation,2026-08-10
EU AI Act,32024R1689,Article 5,Prohibited AI practices,2025-02-02,"Do not use Mia for prohibited manipulation, social scoring, emotion inference in work or education, sensitive-trait inference, or other prohibited practices.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj,Official EUR-Lex regulation,2026-08-10
EU AI Act,32024R1689,Article 6 and Annex III,High-risk classification,2027-12-02,"Treat Mia as decision support only. Reassess with Legal before any use affecting employment, credit, eligibility, law enforcement, migration, education or other Annex III areas.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj,Official EUR-Lex regulation as amended,2026-08-10
EU AI Act,32024R1689,Articles 9-10,High-risk risk management and data governance,2027-12-02,"If a proposed use is high-risk, stop deployment until a documented lifecycle risk-management system, dataset governance and quality controls are implemented and approved.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj,Official EUR-Lex regulation as amended,2026-08-10
EU AI Act,32024R1689,Articles 13-15,High-risk transparency human oversight and robustness,2027-12-02,"For any high-risk deployment, provide operating guidance and logging; assign meaningful human oversight; and maintain measured quality, regression and cybersecurity controls.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj,Official EUR-Lex regulation as amended,2026-08-10
EU AI Act,32024R1689,Articles 26-27,Deployer duties and fundamental-rights impact assessment,2027-12-02,"If Mia is classified high-risk, operate it to instructions, retain logs, monitor performance and assess affected persons, impacts, mitigation and governance before relevant deployment.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj,Official EUR-Lex regulation as amended,2026-08-10
